sci_name_norm,sci_name,common_name_en,toxic_to_dogs,toxic_to_cats,toxic_to_horses,clinical_signs,toxic_principles,additional_common_names,detail_url
podophyllum peltatum,Podophyllum peltatum,American Mandrake,true,true,true,"Vomiting, diarrhea, lethargy, panting, coma (rare); dermal - redness, skin ulcers.",Podophyllin,"Mayapple, Indian Apple Root, Umbrella Leaf, Wild Lemon, Hog Apple, Duck's Foot, Raccoonberry",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/american-mandrake
poinciana gilliesii,Poinciana gilliesii,Barbados Pride 2,true,true,,"Oral irritation, intense burning and irritation of mouth, tongue and lips, excessive drooling, vomiting, diarrhea, difficulty swallowing and incoordination is possible. Deaths in rabbits have been reported.",GI irritants,"Bird of Paradise, Poinciana, Brazilwood",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/barbados-pride-2
polyrrhiza lindenii,Polyrrhiza lindenii,Ghost Leafless Orchid,false,false,false,,Non-toxic,Leafless ghost orchid,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/ghost-leafless-orchid
polyscias guilfoylei,Polyscias guilfoylei,Coffee Tree,true,true,true,"Contact dermatitis, vomiting, anorexia, depression.",Saponin,"Wild Coffee, Geranium-Leaf Aralia",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/coffee-tree
polystichum acrostichoides,Polystichum acrostichoides,Christmas Dagger,false,false,false,,,Christmas Dagger Fern,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/christmas-dagger
portulaca oleracea,Portulaca oleracea,Moss Rose,true,true,true,"Kidney failure (rare in dogs/cats), tremors, salivation.",Soluble calcium oxalates,"Wild Portulaca, Rock Moss, Purslane, Pigwee, Pusley",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/moss-rose
potentilla,Potentilla spp.,Cinquefoil,false,false,false,,,"Silver Cinquefoil, Shrubby Cinquefoil, Rough Cinquefoil, Sulfur Cinquefoil, Rock Cinquefoil",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/cinquefoil
poterium sanguisorba,Poterium sanguisorba,Salad Burnet,false,false,false,,,"Garden Burnet, Small Burnet, Burnet",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/salad-burnet
primula vulgaris,Primula vulgaris,Primrose,true,true,true,Mild vomiting,Unknown,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/primrose
prosopis limensis,Prosopis limensis,Algaroba,false,false,false,,,"Kiawe, Mesquite",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/algaroba
prunus,Prunus spp.,Cherry,true,true,true,"Stems, leaves, seeds contain cyanide, particularly toxic in the process of wilting: brick red mucous membranes, dilated pupils, difficulty breathing, panting, shock.",Cyanogenic glycosides,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/cherry
prunus armeniaca,Prunus armeniaca,Apricot,true,true,true,"Stems, leaves, seeds contain cyanide, particularly toxic in the process of wilting: brick red mucous membranes, dilated pupils, difficulty breathing, panting, shock.",Cyanogenic glycosides found in some species,"Group also includes Plum, Peach, Cherry",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/apricot
prunus avium,Prunus avium,Sweet Cherry,true,true,true,"Stems, leaves, seeds contain cyanide, particularly toxic in the process of wilting: brick red mucous membranes, dilated pupils, difficulty breathing, panting, shock.",Cyanogenic glycosides found in some species,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/sweet-cherry
prunus domestica,Prunus domestica,Plum,true,true,true,"Stems, leaves, seeds contain cyanide, particularly toxic in the process of wilting: brick red mucous membranes, dilated pupils, difficulty breathing, panting, shock.",Cyanogenic glycosides found in some species,"similar plants: apricot, peach, cherry",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/plum
prunus persica,Prunus persica,Peach,true,true,true,"Stems, leaves, seeds contain cyanide, particularly toxic in the process of wilting: brick red mucous membranes, dilated pupils, difficulty breathing, panting, shock.",Cyanogenic glycosides found in some species,"Similar plants: Plum, Apricot, Cherry",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/peach
prunus serotina,Prunus serotina,Black Cherry,true,true,true,"Stems, leaves, seeds contain cyanide, particularly toxic in the process of wilting: brick red mucous membranes, dilated pupils, difficulty breathing, panting, shock.",Cyanogenic glycosides found in some species,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/black-cherry
prunus virginiana,Prunus virginiana,Choke Cherry,true,true,true,"Stems, leaves, seeds contain cyanide, particularly toxic in the process of wilting: brick red mucous membranes, dilated pupils, difficulty breathing, panting, shock.",Cyanogenic glycosides found in some species,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/choke-cherry
pteridium aquilinum,Pteridium aquilinum,Bracken Fern,,,true,"Thiamine deficiency: weakness, weight loss, staggers, tremors, death",Thiaminase,"Brake Fern, Umbewe, Brake, Pasture Bracken, Hog-Pasture Bracken, Eagle fern, Umhlashoshana, Adelaarsvaring",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/bracken-fern
pteris,Pteris sp.,Silver Table Fern,false,false,false,,,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/silver-table-fern
quercus species,Quercus species,Oak,,,true,"Abdominal pain, constipation then diarrhea (occasionally bloody), depression, frequent urination, discolored urine, jaundice; acorns can obstruct the digestive tract",Gallotannin,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/oak
ranunculus,Ranunculus spp.,Buttercup,true,true,true,"Vomiting, diarrhea, depression, anorexia, hypersalivation, oral ulcers and wobbly gait.",Protoanemonin (an irritant),"Butter Cress, Figwort",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/buttercup
ranunculus acris,Ranunculus acris,Figwort,true,true,true,"Vomiting, diarrhea, depression, anorexia, hypersalivation and wobbly gait.",Protoanemonin (an irritant),"Buttercup, Butter Cress, Burwort, Crowfoot burwort",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/figwort
raphanus raphanistrum,Raphanus raphanistrum,Wild Radish,,,true,"Gastrointestinal irritation, colic",Isothiocyanates,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/wild-radish
ravenea rivularis,Ravenea rivularis,Majesty Palm,false,false,false,,,Majestic Palm,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/majesty-palm
rhapis flabelliformis,Rhapis flabelliformis,Fan Tufted Palm,false,false,false,,Non-toxic,Lady Palm,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/fan-tufted-palm
rhapis flabelliformus,Rhapis flabelliformus,Lady Palm,false,false,,,Non-toxic,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/lady-palm
rheum rhabarbarium,Rheum rhabarbarium,Pie Plant,true,true,true,"Kidney failure (in grazing animals), vomiting, salivation in dogs/cats. Most toxic parts are leaves and roots.",Soluble calcium oxalates,Rhubarb,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/pie-plant
rhipsalis cassutha,Rhipsalis cassutha,Mistletoe Cactus,false,false,false,,Non-toxic,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/mistletoe-cactus
rhododendron,Rhododendron spp,Azalea,true,true,true,"Vomiting (not in horses), diarrhea, weakness, cardiac failure",Grayantoxin,"Rosebay, Rhododendron",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/azalea
ricinus communis,Ricinus communis,African Wonder Tree,true,true,true,"Loss of appetite, excessive thirst, weakness, colic, trembling, sweating, loss of coordination, difficulty breathing, depression, bloody diarrhea, seizures, death.",Ricin (highly toxic),,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/african-wonder-tree
robinia,Robinia spp.,Locust,true,true,true,"Vomiting, depression, anorexia, weakness, difficulty breathing, diarrhea (bloody), death","Toxalbumins: phasin, robin and robitin (bark, leaves and seeds)",,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/locust
rosa,Rosa Species,Rose,false,false,false,,Non-toxic,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/rose
rosmarinus officinalis,Rosmarinus officinalis,Rosemary,false,false,false,,,Anthos,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/rosemary
rubus pedatus,Rubus pedatus,Creeping Rubus,false,false,false,,,Strawberryleaf Raspberry,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/creeping-rubus
rumex,Rumex sp.,Dock,true,true,true,"Kidney failure (rare in dogs/cats), tremors, salivation.",Soluble calcium oxalates,Sorrel,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/dock
rumex scutatus,Rumex scutatus,Sorrel,true,true,true,"Small exposures only result in GI upset. Very large amounts can cause weakness, muscle fasciculations, and potentially seizures from hypocalcemia. Hypocalcemia can also result in arrhythmias. Secondary renal injury may also develop from the crystals. This is only expected in massive exposures or with chronic ingestion",Soluble oxalates,"Common Sorrel, Spinach-Dock, Narrow-leaved Dock, Garden sorrel",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/sorrel
saintpaulia,Saintpaulia spp.,African Violet,false,false,false,,,Cape Marigold,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/african-violet
saintpaulia confusa,Saintpaulia confusa,Kenya Violet,false,false,,,Non-toxic,Usambra violet,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/kenya-violet
salix purpurea,Salix purpurea,Pupleosier Willow,false,false,false,,Non-toxic,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/pupleosier-willow
salvia coccinea,Salvia coccinea,Scarlet Sage,false,false,false,,,Texas Sage,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/scarlet-sage
salvia officinalis,Salvia officinalis,Sage,false,false,false,,,"Common Sage, Garden Sage",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/sage
sansevieria trifasciata,Sansevieria trifasciata,Golden Birds Nest,true,true,true,"Nausea, vomiting, diarrhea.",Saponins,"Snake Plant, Mother-in-Law’s Tongue, Good Luck Plant",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/golden-birds-nest
santpaulia confusa,Santpaulia confusa,Usambara Violet,false,false,,,Non-toxic,Kenya Violet,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/usambara-violet
sanvitalia,Sanvitalia spp.,Creeping Zinnia,false,false,false,,,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/creeping-zinnia
satureja hortensis,Satureja hortensis,Savory (Summer),false,false,false,,,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/savory-summer
schefflera,Schefflera,Schefflera,true,true,,"Oral irritation, intense burning and irritation of the mouth, lips, tongue, excessive drooling, vomiting, difficulty in swallowing.",Calcium oxalate crystals,"Umbrella Tree, Australian Ivy Palm, Octopus Tree, Starleaf",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/schefflera
schefflera or,Schefflera or Brassia actinoplylla,Octopus Tree,true,true,,"Mild vomiting, diarrhea.","Terpenoids, saponins, insoluble oxalates","Schefflera, Umbrella Tree, Australian Ivy Palm, Starleaf",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/octopus-tree
schlumbergera bridgesii,Schlumbergera bridgesii,Christmas Cactus,false,false,false,,,Easter Cactus,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/christmas-cactus
schlumbergera russelliana,Schlumbergera russelliana,Shrimp Cactus,false,false,false,,,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/shrimp-cactus
scindapsus,"Scindapsus, Philodendron spp",Variegated Philodendron,true,true,,"Oral irritation, intense burning and irritation of the mouth, lips, tongue, excessive drooling, vomiting, difficulty in swallowing.",Calcium oxalate crystals,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/variegated-philodendron
scindapsus aureus,Scindapsus aureus,Marble Queen,true,true,,,Calcium oxalate crystals,Golden Pothos,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/marble-queen
scindapsus pictus,Scindapsus pictus,Satin Pothos,true,true,true,"Oral irritation, pain and swelling of mouth, tongue and lips, excessive drooling, vomiting (not horses), difficulty swallowing",Insoluble calcium oxalates,Silk Pothos,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/satin-pothos
secum weinbergii,Secum weinbergii,Mother of Pearl,false,false,,,Non-toxic,Ghost Plant,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/mother-pearl
sedum album,Sedum album,Hardy Baby Tears,false,false,,,Non-toxic,Stonecrop,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/hardy-baby-tears
sedum morganianum,Sedum morganianum,Burro's Tail,false,false,false,,,"Horse's Tail, Donkey's Tail, Lamb's Tail",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/burros-tail
sedum weinbergii,Sedum weinbergii,Ghost Plant,false,false,false,,Non-toxic,Mother of Pearl,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/ghost-plant
selaginella kraussiana,Selaginella kraussiana,Club Moss,false,false,false,,,"Cushion Moss, Irish Moss, Krauss' Spikemoss, Spreading Club Moss, Trailing Irish Moss",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/club-moss
senecio species,Senecio species,Golden Ragwort,true,true,true,Horses: liver disease (must be ingested in large amount or over a long time period),Pyrrolizidine alkaloids,Ragwort,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/golden-ragwort
silene acaulis,Silene acaulis,Moss Campion,false,false,false,,Non-toxic,"Bladder Campion, Cushion Pink, Dwarf Silene, Catchfly",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/moss-campion
sinningia speciosa,Sinningia speciosa,Gloxinia,false,false,false,,Non-toxic,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/gloxinia
smilax,Smilax sp.,Mulberry Bush Greenbrier,false,false,false,,Non-toxic,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/mulberry-bush-greenbrier
smilax glabra,Smilax glabra,Cat Brier,false,false,false,,,"China Root, Ti-hu-ling, Shiny Leaf Smilax",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/cat-brier
smilax glauca,Smilax glauca,Sawbrier,false,false,false,,,Wild Sasparilla,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/sawbrier
smilax herbacea,Smilax herbacea,Carrion Flower,false,false,false,,,Jacob's Ladder,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/carrion-flower
smilax hispida,Smilax hispida,Bristly Greenbrier,false,false,false,,,"Hagbrier, Hellfetter",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/bristly-greenbrier
smilax lanceolata,Smilax lanceolata,Jackson Brier,false,false,false,,Non-toxic,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/jackson-brier
smilax laurifolia,Smilax laurifolia,Bamboo Vine,false,false,false,,,"Blaspheme vine, Laurel-leaved Greenbrier",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/bamboo-vine
smilax rotundifolia,Smilax rotundifolia,Bullbrier,false,false,false,,,"Catbrier, Horsebrier, Common Greenbrier",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/bullbrier
smilax walteria,Smilax walteria,Red Berried Greenbrier,false,false,false,"Vomiting, diarrhea and depression. Leaves and berries are low toxicity.",Non-toxic,red-berried-bamboo,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/red-berried-greenbrier
solanum,Solanum spp,Deadly Nightshade,true,true,true,"Hypersalivation, inappetence, severe gastrointestinal upset, diarrhea, drowsiness, CNS depression, confusion, behavioral change, weakness, dilated pupils, slow heart rate.","Solanine, saponins, atropine like substances","Nightshade, Black Nightshade, European Bittersweet, Climbing Nightshade",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/deadly-nightshade
solanum dulcamara,Solanum dulcamara,Climbing Nightshade,true,true,true,"Vomiting, diarrhea - common. Drowsiness, low blood pressure, low heart rate - uncommon.",Solanine,"European Bittersweet, Deadly Nightshade, Violet Bloom, Blue Nightshade, Soda Apple, Poisonous Nightshade, Felonwort, Devil's Apple, Scarlet Berry, Woody Nightshade, Blue Blindweed",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/climbing-nightshade
solanum nigrum,Solanum nigrum,Black Nightshade,true,true,true,"Hypersalivation, inappetence, severe gastrointestinal upset, diarrhea, drowsiness, CNS depression, confusion, behavioral change, weakness, dilated pupils, slow heart rate.","Solanine, saponins, atropine like substances","Nightshade, Deadly Nightshade",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/black-nightshade
solanum pseudocapsicum,Solanum pseudocapsicum,Jerusalem Cherry,true,true,true,"Gastrointestinal disturbances, possible ulceration of the gastrointestinal system, seizures, depression, respiratory depression, and shock.",Solanine,"Natal cherry, Winter cherry",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/jerusalem-cherry
soleirolia soleirolii,Soleirolia soleirolii,Paddys Wig,false,false,false,,Non-toxic,"Japanese moss, Peace-in-the-home, Corsican Carpet, Angel's Tears, Irish Moss, Mind-your-own-business, Pollyanna vine, Baby Tears",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/paddys-wig
sophronitis,Sophronitis spp.,Brazilian Orchid,false,false,false,,,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/brazilian-orchid
sorghum vulgare sudanesis,Sorghum vulgare var sudanesis,Sudan Grass,false,false,true,"Requires one week to six months of ingestion. Loss of nerve function to the hind legs and bladder, stumbling when forced to move, progressing to complete paralysis of the hind limbs and fetal deformities or fetal death.","Cyanogenic glycosides, nitrates",Hybrid Sudan,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/sudan-grass
spathiphyllum,Spathiphyllum,Mauna Loa Peace Lily,true,true,true,"Oral irritation, pain and swelling of mouth, tongue and lips, excessive drooling, vomiting (not horses), difficulty swallowing",Insoluble calcium oxalates,Peace Lily,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/mauna-loa-peace-lily
sphenosciadium capitellatum,Sphenosciadium capitellatum,Ranger's Button,true,true,true,"Photosensitization (sunburn, dermatitis), large amounts are needed to cause this effect",Furanocoumarins,White Heads,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/rangers-button
stapelia hirsata,Stapelia hirsata,Carrion Flower 2,false,false,false,,,Hairy Toad Plant,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/carrion-flower-2
stapelia variegata,Stapelia variegata,Toad Spotted Cactus,false,false,false,,,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/toad-spotted-cactus
stephanotis floribunda,Stephanotis floribunda,Madagascar Jasmine,false,false,false,,Non-toxic,"Wax Flower, Bride's Flower, Clustered Wax Flower",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/madagascar-jasmine
stevia rebaudiana,Stevia rebaudiana,Stevia,false,false,false,,Non-toxic,"Sweetleaf, Sugar Leaf",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/stevia
stewartia ovata,Stewartia ovata,Mountain Camellia,false,false,false,,Non-toxic,Showy Camellia,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/mountain-camellia
strelitzia reginae,Strelitzia reginae,Bird of Paradise Flower,true,true,true,"Mild nausea, vomiting, drowsiness; caused mainly by fruit and seeds",GI irritants,"Crane Flower, Bird's Tongue Flower",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/bird-paradise-flower
streptocarpus,Streptocarpus spp.,Cape Primrose,false,false,false,,,"Twisted Fruit, Bavarian Belle",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/cape-primrose
symplocarpus foetidus,Symplocarpus foetidus,Skunk Cabbage,true,true,true,"Oral irritation, pain and swelling of mouth, tongue and lips, excessive drooling, vomiting (not horses), difficulty swallowing",Insoluble calcium oxalates,"Skunk Weed, Polecat Weed, Meadow Cabbage, Swamp Cabbage",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/skunk-cabbage
syngonium podophyllum,Syngonium podophyllum,Arrow-Head Vine,true,true,true,"Oral irritation, pain and swelling of mouth, tongue and lips, excessive drooling, vomiting (not horses), difficulty swallowing",Insoluble calcium oxalates,"Nephthytis, Green Gold Naphthysis, African Evergreen, Trileaf Wonder",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/arrow-head-vine
taxus,Taxus sp.,Japanese Yew,true,true,true,"Tremors, difficulty breathing, vomiting, seizures (dogs), sudden death from acute heart failure. Early signs: muscular tremors, dyspnea, seizures in dogs.","Taxine A and B, Volatile oil","English Yew, Western Yew, Pacific Yew, Anglo-Japanese Yew",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/japanese-yew
taxus baccata,Taxus baccata,English Yew,true,true,true,"Tremors, difficulty breathing, vomiting, seizures (dogs), sudden death from acute heart failure.","Taxine A and B, Volatile oil","Western Yew, Pacific Yew, Japanese Yew, Anglo-Japanese Yew",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/english-yew
taxus brevifolia,Taxus brevifolia,Pacific Yew,true,true,true,"Tremors, difficulty breathing, vomiting, seizures (dogs), sudden death from acute heart failure.","Taxine A and B, Volatile oil","English Yew, Western Yew, Japanese Yew, Anglo-Japanese Yew",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/pacific-yew
taxus canadensus,Taxus canadensus,American Yew,true,true,true,"Tremors, difficulty breathing, vomiting, seizures (dogs), sudden death from acute heart failure.","Taxine A and B, Volatile oil","Canada Yew, Canadian Yew",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/american-yew
thevetia peruviana,Thevetia peruviana,Yellow Oleander,true,true,true,"Vomiting, diarrhea, slow heart rate",Cardenolides,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/yellow-oleander
thlaspi arvense,Thlaspi arvense,Field Pennycress,,,true,"Colic, diarrhea, dermatitis",Isothiocyanates,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/field-pennycress
thymus vulgaris,Thymus vulgaris,Thyme,false,false,false,,Non-toxic,"Common Thyme, Garden Thyme, German Thyme",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/thyme
tilia americana,Tilia americana,Linden,false,false,false,,Non-toxic,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/linden
tolmeia menziesii,Tolmeia menziesii,Piggy Back Plant,false,false,,,Non-Toxic,"Pick-a-back plant, Mother of Thousands, Curiosity plant",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/piggy-back-plant
townsendia sericea,Townsendia sericea,Easter Daisy,false,false,false,,Non-toxic,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/easter-daisy
toxicodendron species,Toxicodendron species,Poison Ivy,false,false,false,Pets can get oils on their coat and expose humans.,Urushiol,"poison oak, poison sumac",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/poison-ivy
trachelospermum jasminoides,Trachelospermum jasminoides,Confederate Jasmine,false,false,false,,,Star Jasmine,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/confederate-jasmine
trachycarpus fortunei,Trachycarpus fortunei,Fortunes Palm,false,false,false,,Non-toxic,Chusan palm,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/fortunes-palm
tradescantia flumeninsis,Tradescantia flumeninsis,Inch Plant,true,true,true,Dermatitis,,Speedy Henry,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/inch-plant
tradescantia multiflora,tradescantia multiflora,Tahitian Bridal Veil,true,true,,Can cause mild gastrointestinal signs and dermatitis.,,Gibasis Geniculata,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/tahitian-bridal-veil
trifolium hybridum,Trifolium hybridum,Alsike Clover,,,true,"""Dew poisoning"" - sunburn, skin ulcers; ""Big liver disease"" - liver failure",Unknown,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/alsike-clover
tropaeolum majus,Tropaeolum majus,Nasturtium,false,false,false,No records of toxic ingestion from this plant.,Non-toxic,"Nose-Twister, Nose-Tweaker",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/nasturtium
tsuga canadensis,Tsuga canadensis,Canada Hemlock,false,false,false,,,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/canada-hemlock
tsuga caroliniana,Tsuga caroliniana,Carolina Hemlock,false,false,false,,,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/carolina-hemlock
tsuga species,Tsuga species,Hemlock Tree,false,false,false,,Non-toxic,Many varieties,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/hemlock-tree
tulipa,Tulipa spp.,Tulip,true,true,true,"Vomiting, depression, diarrhea, hypersalivation. Highest concentration of toxin in bulb.",Tulipalin A and B,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/tulip
vallota speciosa,Vallota speciosa,Scarborough Lily,false,false,false,,,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/scarborough-lily
veitchia merillii,Veitchia merillii,Dwarf Royal Palm,false,false,,,Non-toxic,,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/dwarf-royal-palm
veitchia merrillii,Veitchia merrillii,Manila Palm,false,false,,,,"Dwarf Royal Palm, Christmas Palm",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/manila-palm
viburnum lentago,Viburnum lentago,Black Haw,false,false,false,,,"Wild Raisin, Tea Plant, Cowberry, Nannyberry, Sweet Viburnum, Nanny Plum, Sheepberry, Sweetberry",https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/black-haw
vinca rosea,Vinca rosea,Periwinkle,true,true,true,"Vomiting, diarrhea, low blood pressure, depression, tremors, seizures, coma, death.",Vinca Alkaloids,Running Myrtle. Vinca,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/periwinkle
wisteria,Wisteria spp.,Wisteria,true,true,true,"Vomiting (sometimes with blood), diarrhea, depression","Lectin, wisterin glycoside",,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/wisteria
